2018-12-10,16:04:48,home,0,create user User10
2018-12-10,16:33:20,action-list,1.1,add new action: action1
2018-12-10,16:33:52,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-10,16:34:18,new-action/perception:action1,2.0.1,refresh view
2018-12-10,16:34:40,new-action/perception:action1,2.1.2,change type to: base
2018-12-10,16:34:45,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-10,16:34:45,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-10,16:35:03,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-10,16:35:43,new-action/demonstration:action1,2.2.2,stop demo
2018-12-10,16:35:54,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-10,16:36:39,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-10,16:36:39,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-10,16:37:07,new-action/actionModel:action1,2.1.1,detect action conditions: Effect
2018-12-10,16:38:06,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-10,16:38:14,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-10,16:38:14,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-10,16:38:50,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-10,16:38:50,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-10,16:38:50,new-action/actionModel:action1,2.0.4,renamed action to Move-vacuum
2018-12-10,16:40:05,problem-list,3.1,add new problem: problem1
2018-12-10,16:40:06,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-10,16:40:29,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-10,16:40:29,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-10,16:40:36,new-problem/perception:problem1,4.0.1,refresh view
2018-12-10,16:41:16,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-10,16:41:16,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-10,16:41:17,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-10,16:42:15,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-10,16:42:22,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-10,16:42:23,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:44:11,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-10,16:44:11,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:44:11,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-10,16:44:11,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-10,16:44:11,problem-list,3.1,add new problem: problem2
2018-12-10,16:44:25,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:44:25,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-10,16:44:25,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-10,16:44:55,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:44:55,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-10,16:44:55,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-10,16:45:37,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:45:37,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-10,16:45:37,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-10,16:45:37,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-10,16:45:47,new-problem/problemModel:problem2,4.0.1,refresh view
2018-12-10,16:46:20,new-problem/problemModel:problem2,4.2.1,add goal state:obj1 on
2018-12-10,16:46:43,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:46:43,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-10,16:46:43,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:46:48,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:46:48,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-10,16:46:48,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-10,16:46:48,new-problem/problemModel:problem2,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:46:49,new-problem/problemModel:problem2,4.2.1,add goal state:obj2 on
2018-12-10,16:46:53,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:46:53,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-10,16:46:53,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-10,16:48:13,new-problem/generatedPlan:problem2,4.3.1,show hints
2018-12-10,16:49:06,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:49:06,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-10,16:49:10,action-list,1.2,open action: Move-vacuum
2018-12-10,16:49:10,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:49:10,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-10,16:49:16,new-action/actionModel:Move-vacuum,2.0.2,save action: Move-vacuum
2018-12-10,16:49:16,new-action/actionModel:Move-vacuum,2.0.5,switch to: actionModel
2018-12-10,16:49:16,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:49:16,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-10,16:49:58,new-action/actionModel:Move-vacuum,2.3.2,add precondition:posM clear
2018-12-10,16:50:43,new-action/actionModel:Move-vacuum,2.0.2,save action: Move-vacuum
2018-12-10,16:50:43,new-action/actionModel:Move-vacuum,2.0.3,quit action: Move-vacuum
2018-12-10,16:50:43,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:50:43,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-10,16:50:46,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:50:46,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-10,16:50:49,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:50:49,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-10,16:50:49,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-10,16:50:49,problem-list,3.2,open problem: problem2
2018-12-10,16:50:52,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-10,16:50:52,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-10,16:50:53,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:50:53,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-10,16:50:53,new-problem/problemModel:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-10,16:51:03,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:51:03,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-10,16:51:03,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-10,16:51:42,new-problem/generatedPlan:problem2,4.0.3,quit problem: problem2
2018-12-10,16:52:12,problem-list,3.1,add new problem: problem3
2018-12-10,16:52:13,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:52:13,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-10,16:52:13,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-10,16:52:33,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:52:33,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-10,16:52:33,new-problem/perception:problem3,4.1.1,detect initial states: initial
2018-12-10,16:52:33,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-10,16:53:11,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:53:11,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-10,16:53:11,new-problem/perception:problem3,4.1.1,detect initial states: initial
2018-12-10,16:53:11,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-10,16:53:14,new-problem/perception:problem3,4.0.1,refresh view
2018-12-10,16:53:21,new-problem/perception:problem3,4.0.1,refresh view
2018-12-10,16:53:33,new-problem/perception:problem3,4.0.1,refresh view
2018-12-10,16:53:52,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:53:52,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-10,16:53:52,new-problem/perception:problem3,4.1.1,detect initial states: initial
2018-12-10,16:53:52,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-10,16:54:07,new-problem/perception:problem3,4.0.1,refresh view
2018-12-10,16:54:13,new-problem/perception:problem3,4.0.1,refresh view
2018-12-10,16:54:37,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:54:37,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-10,16:54:37,new-problem/problemModel:problem3,4.0.2,save problem: problem3
2018-12-10,16:54:37,new-problem/problemModel:problem3,4.0.5,switch to: problemModel
2018-12-10,16:54:37,new-problem/problemModel:problem3,4.3.0,no steps generated
2018-12-10,16:55:13,new-problem/problemModel:problem3,4.2.1,add goal state:obj2 on
2018-12-10,16:55:24,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:55:24,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-10,16:55:24,new-problem/generatedPlan:problem3,4.2.3,solve problem
2018-12-10,16:55:24,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-10,16:55:29,new-problem/generatedPlan:problem3,4.3.1,show hints
2018-12-10,16:58:12,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:58:12,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-10,16:58:12,new-problem/problemModel:problem3,4.0.2,save problem: problem3
2018-12-10,16:58:12,new-problem/problemModel:problem3,4.0.5,switch to: problemModel
2018-12-10,16:58:12,new-problem/problemModel:problem3,4.3.0,no steps generated
2018-12-10,16:58:20,new-problem/problemModel:problem3,4.2.2,delete goal state:obj2 on
2018-12-10,16:58:26,new-problem/problemModel:problem3,4.2.1,add goal state:obj2 on
2018-12-10,16:58:31,new-problem/generatedPlan:problem3,4.2.3,solve problem
2018-12-10,16:58:32,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:58:32,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-10,16:58:32,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-10,16:59:48,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:59:48,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-10,16:59:48,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-10,16:59:53,action-list,1.2,open action: Move-vacuum
2018-12-10,16:59:53,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-10,16:59:53,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-10,16:59:53,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-10,16:59:57,new-action/perception:Move-vacuum,2.1.2,change type to: cube
2018-12-10,17:00:16,new-action/perception:Move-vacuum,2.1.2,change type to: object
2018-12-10,17:00:23,new-action/perception:Move-vacuum,2.0.2,save action: Move-vacuum
2018-12-10,17:00:23,new-action/perception:Move-vacuum,2.0.3,quit action: Move-vacuum
2018-12-10,17:00:23,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
