2018-12-11,13:55:23,home,0,create user User11
2018-12-11,14:18:45,action-list,1.1,add new action: action1
2018-12-11,14:19:19,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-11,14:19:34,new-action/perception:action1,2.0.1,refresh view
2018-12-11,14:19:59,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-11,14:19:59,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-11,14:20:15,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-11,14:20:45,new-action/demonstration:action1,2.2.2,stop demo
2018-12-11,14:20:54,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-11,14:21:45,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-11,14:21:45,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-11,14:22:13,new-action/actionModel:action1,2.1.1,detect action conditions: Effect
2018-12-11,14:22:26,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-11,14:22:27,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-11,14:23:30,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-11,14:23:30,new-action/actionModel:action1,2.0.4,renamed action to basesuction
2018-12-11,14:23:30,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-11,14:23:30,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-11,14:24:22,problem-list,3.1,add new problem: problem1
2018-12-11,14:24:22,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,14:24:22,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,14:24:22,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,14:24:22,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,14:24:44,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-11,14:24:44,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,14:25:08,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-11,14:25:08,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-11,14:25:08,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-11,14:25:50,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-11,14:25:57,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-11,14:25:57,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,14:26:28,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-11,14:26:41,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-11,14:27:52,problem-list,3.1,add new problem: problem2
2018-12-11,14:27:52,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,14:27:52,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,14:27:52,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,14:27:52,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,14:27:52,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,14:27:52,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,14:27:52,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,14:27:52,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,14:28:10,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-11,14:28:11,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,14:28:11,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,14:28:27,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-11,14:28:27,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
