2018-12-11,15:49:43,home,0,create user User12
2018-12-11,16:22:38,action-list,1.1,add new action: action1
2018-12-11,16:23:15,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-11,16:23:32,new-action/perception:action1,2.0.1,refresh view
2018-12-11,16:24:56,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-11,16:24:56,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-11,16:25:19,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-11,16:26:27,new-action/demonstration:action1,2.2.2,stop demo
2018-12-11,16:26:35,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-11,16:27:21,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-11,16:27:21,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-11,16:28:03,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-11,16:28:17,new-action/actionModel:action1,2.3.2,add precondition:posB clear
2018-12-11,16:28:40,new-action/actionModel:action1,2.3.2,add precondition:obj1 stackable
2018-12-11,16:30:17,new-action/actionModel:action1,2.3.1,delete precondition:posB clear
2018-12-11,16:30:19,new-action/actionModel:action1,2.3.2,add precondition:obj1 on
2018-12-11,16:30:52,new-action/actionModel:action1,2.3.2,add precondition:posB clear
2018-12-11,16:31:00,new-action/actionModel:action1,2.3.2,add effect:obj1 on
2018-12-11,16:31:34,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-11,16:31:52,new-action/actionModel:action1,2.3.2,add effect:posM clear
2018-12-11,16:32:21,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-11,16:32:21,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-11,16:33:26,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-11,16:33:26,new-action/actionModel:action1,2.0.4,renamed action to Move_vac
2018-12-11,16:33:26,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-11,16:33:26,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-11,16:34:30,problem-list,3.1,add new problem: problem1
2018-12-11,16:34:30,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,16:34:30,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,16:34:30,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,16:34:30,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,16:34:54,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-11,16:34:54,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,16:35:26,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-11,16:35:26,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-11,16:35:26,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-11,16:36:07,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-11,16:36:08,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-11,16:36:08,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:36:33,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-11,16:37:54,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-11,16:37:55,problem-list,3.1,add new problem: problem2
2018-12-11,16:37:56,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:37:56,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,16:37:56,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:37:56,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,16:37:56,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:37:56,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,16:37:56,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:37:56,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,16:38:24,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-11,16:38:24,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:38:24,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,16:38:47,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-11,16:38:48,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:38:48,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,16:39:43,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-11,16:39:43,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-11,16:39:43,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:39:43,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-11,16:39:59,new-problem/problemModel:problem2,4.0.1,refresh view
2018-12-11,16:40:45,new-problem/problemModel:problem2,4.2.1,add goal state:obj1 on
2018-12-11,16:41:02,new-problem/problemModel:problem2,4.2.1,add goal state:obj2 on
2018-12-11,16:41:10,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-11,16:41:10,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:41:10,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:42:53,new-problem/generatedPlan:problem2,4.3.1,show hints
2018-12-11,16:45:42,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:45:42,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:45:46,action-list,1.2,open action: Move_vac
2018-12-11,16:45:46,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:45:46,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:45:46,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:45:46,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:45:46,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:45:46,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:45:50,new-action/actionModel:Move_vac,2.0.2,save action: Move_vac
2018-12-11,16:45:50,new-action/actionModel:Move_vac,2.0.5,switch to: actionModel
2018-12-11,16:45:50,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:45:50,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:04,new-action/actionModel:Move_vac,2.3.2,add effect:obj1 on
2018-12-11,16:47:35,new-action/actionModel:Move_vac,2.0.2,save action: Move_vac
2018-12-11,16:47:35,new-action/actionModel:Move_vac,2.0.3,quit action: Move_vac
2018-12-11,16:47:35,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:47:35,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:39,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:47:39,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:45,problem-list,3.2,open problem: problem2
2018-12-11,16:47:45,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:45,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:47:45,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:45,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:45,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:47:45,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:45,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:45,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:47:45,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:45,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:49,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-11,16:47:49,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-11,16:47:49,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:47:49,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:49,new-problem/problemModel:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:52,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-11,16:47:52,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:47:52,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:47:52,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:48:55,new-problem/generatedPlan:problem2,4.0.3,quit problem: problem2
2018-12-11,16:48:57,problem-list,3.1,add new problem: problem3
2018-12-11,16:48:57,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:48:57,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:48:57,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:48:57,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-11,16:48:57,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:48:57,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:48:57,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:48:57,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-11,16:48:57,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:48:57,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:48:57,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:48:57,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-11,16:48:57,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:48:57,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:48:57,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:48:57,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-11,16:49:16,new-problem/perception:problem3,4.1.1,detect initial states: initial
2018-12-11,16:49:16,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:49:16,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:49:16,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:49:16,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-11,16:49:52,new-problem/problemModel:problem3,4.0.2,save problem: problem3
2018-12-11,16:49:52,new-problem/problemModel:problem3,4.0.5,switch to: problemModel
2018-12-11,16:49:52,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:49:52,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:49:52,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:49:52,new-problem/problemModel:problem3,4.3.0,no steps generated
2018-12-11,16:50:04,new-problem/problemModel:problem3,4.2.1,add goal state:obj2 on
2018-12-11,16:50:31,new-problem/generatedPlan:problem3,4.2.3,solve problem
2018-12-11,16:50:32,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:50:32,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:50:32,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:50:32,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-11,16:52:44,new-problem/problemModel:problem3,4.0.2,save problem: problem3
2018-12-11,16:52:44,new-problem/problemModel:problem3,4.0.5,switch to: problemModel
2018-12-11,16:52:44,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:52:44,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:52:44,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:52:44,new-problem/problemModel:problem3,4.3.0,no steps generated
2018-12-11,16:52:53,new-problem/problemModel:problem3,4.2.2,delete goal state:obj2 on
2018-12-11,16:53:07,new-problem/problemModel:problem3,4.2.1,add goal state:obj2 on
2018-12-11,16:53:10,new-problem/generatedPlan:problem3,4.0.2,save problem: problem3
2018-12-11,16:53:10,new-problem/generatedPlan:problem3,4.0.5,switch to: generatedPlan
2018-12-11,16:53:10,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,16:53:10,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:53:10,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,16:53:10,new-problem/generatedPlan:problem3,4.3.0,no steps generated
