2018-12-11,17:35:30,home,0,create user User13
2018-12-11,17:59:00,action-list,1.1,add new action: action1
2018-12-11,17:59:24,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-11,17:59:58,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-11,18:00:32,new-action/perception:action1,2.0.1,refresh view
2018-12-11,18:01:36,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-11,18:01:36,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-11,18:01:55,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-11,18:02:24,new-action/demonstration:action1,2.2.2,stop demo
2018-12-11,18:02:35,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-11,18:03:23,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-11,18:03:23,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-11,18:04:37,new-action/actionModel:action1,2.3.2,add precondition:obj1 clear
2018-12-11,18:05:10,new-action/actionModel:action1,2.3.2,add precondition:obj1 flat
2018-12-11,18:05:39,new-action/actionModel:action1,2.3.2,add precondition:obj1 on
2018-12-11,18:05:51,new-action/actionModel:action1,2.3.2,add precondition:obj1 stackable
2018-12-11,18:06:22,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-11,18:06:34,new-action/actionModel:action1,2.3.2,add precondition:posM flat
2018-12-11,18:07:31,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-11,18:07:46,new-action/actionModel:action1,2.3.2,add effect:obj1 on
2018-12-11,18:08:22,new-action/actionModel:action1,2.3.2,add effect:obj1 stackable
2018-12-11,18:08:31,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-11,18:08:31,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-11,18:09:23,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-11,18:09:23,new-action/actionModel:action1,2.0.4,renamed action to move-object
2018-12-11,18:09:23,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-11,18:09:23,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-11,18:10:29,problem-list,3.1,add new problem: problem1
2018-12-11,18:10:29,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,18:10:29,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,18:10:29,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,18:10:29,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,18:10:52,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-11,18:10:52,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-11,18:11:22,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-11,18:11:22,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-11,18:11:22,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-11,18:11:49,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-11,18:11:54,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-11,18:11:54,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:12:26,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-11,18:13:32,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-11,18:13:34,problem-list,3.1,add new problem: problem2
2018-12-11,18:13:34,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:13:34,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,18:13:34,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:13:34,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,18:13:34,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:13:34,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,18:13:34,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:13:34,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,18:13:54,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-11,18:13:55,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:13:55,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,18:14:24,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-11,18:14:24,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:14:24,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,18:14:57,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-11,18:14:57,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:14:57,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,18:15:42,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-11,18:15:42,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:15:42,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,18:16:18,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-11,18:16:18,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-11,18:16:18,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:16:18,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-11,18:16:25,new-problem/perception:problem2,4.0.2,save problem: problem2
2018-12-11,18:16:25,new-problem/perception:problem2,4.0.5,switch to: perception
2018-12-11,18:16:25,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:16:25,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-11,18:16:30,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-11,18:16:30,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-11,18:16:30,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:16:30,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-11,18:16:43,new-problem/problemModel:problem2,4.2.1,add goal state:obj1 on
2018-12-11,18:16:55,new-problem/problemModel:problem2,4.2.1,add goal state:obj2 on
2018-12-11,18:17:08,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-11,18:17:08,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-11,18:17:08,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-11,18:18:02,new-problem/generatedPlan:problem2,4.0.3,quit problem: problem2
2018-12-11,18:18:04,problem-list,3.1,add new problem: problem3
