2018-12-12,10:08:34,home,0,create user User14
2018-12-12,10:57:11,action-list,1.1,add new action: action1
2018-12-12,10:57:43,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-12,10:57:54,new-action/perception:action1,2.0.1,refresh view
2018-12-12,10:58:50,new-action/perception:action1,2.1.2,change type to: cube
2018-12-12,10:58:58,new-action/perception:action1,2.1.2,change type to: base
2018-12-12,10:59:12,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-12,10:59:12,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-12,10:59:56,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-12,11:00:34,new-action/demonstration:action1,2.2.2,stop demo
2018-12-12,11:00:46,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-12,11:01:31,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-12,11:01:31,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-12,11:02:48,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-12,11:04:05,new-action/actionModel:action1,2.3.2,add precondition:posB clear
2018-12-12,11:05:15,new-action/actionModel:action1,2.3.1,delete precondition:posM clear
2018-12-12,11:05:16,new-action/actionModel:action1,2.3.1,delete precondition:posB clear
2018-12-12,11:05:18,new-action/actionModel:action1,2.3.2,add precondition:obj1 on
2018-12-12,11:05:43,new-action/actionModel:action1,2.3.2,add precondition:posB clear
2018-12-12,11:05:51,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-12,11:06:19,new-action/actionModel:action1,2.3.2,add precondition:obj1 stackable
2018-12-12,11:07:14,new-action/actionModel:action1,2.3.2,add effect:obj1 on
2018-12-12,11:07:35,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-12,11:07:51,new-action/actionModel:action1,2.3.2,add effect:posM clear
2018-12-12,11:08:01,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-12,11:08:01,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-12,11:08:58,new-action/actionModel:action1,2.0.2,save action: action1
