2018-12-12,12:58:22,home,0,create user User15
2018-12-12,13:27:18,action-list,1.1,add new action: action1
2018-12-12,13:27:44,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-12,13:27:59,new-action/perception:action1,2.0.1,refresh view
2018-12-12,13:28:15,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-12,13:28:15,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-12,13:28:31,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-12,13:29:01,new-action/demonstration:action1,2.2.2,stop demo
2018-12-12,13:29:09,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-12,13:29:53,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-12,13:29:53,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-12,13:30:33,new-action/actionModel:action1,2.3.2,add precondition:obj1 stackable
2018-12-12,13:30:57,new-action/actionModel:action1,2.3.2,add precondition:obj1 on
2018-12-12,13:31:00,new-action/actionModel:action1,2.3.1,delete precondition:obj1 stackable
2018-12-12,13:31:14,new-action/actionModel:action1,2.3.2,add precondition:obj1 stackable
2018-12-12,13:31:34,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-12,13:32:13,new-action/actionModel:action1,2.3.2,add effect:obj1 on
2018-12-12,13:32:42,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-12,13:32:49,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-12,13:32:49,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-12,13:34:11,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-12,13:34:11,new-action/actionModel:action1,2.0.4,renamed action to vacuum
2018-12-12,13:34:11,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-12,13:34:11,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-12,13:34:58,problem-list,3.1,add new problem: problem1
2018-12-12,13:34:58,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,13:34:58,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,13:34:58,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,13:34:58,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,13:35:18,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-12,13:35:18,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,13:35:33,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-12,13:35:33,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-12,13:35:34,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-12,13:35:50,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-12,13:36:01,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-12,13:36:01,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,13:36:28,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-12,13:37:33,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-12,13:37:57,problem-list,3.1,add new problem: problem2
2018-12-12,13:37:57,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,13:37:57,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,13:37:57,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,13:37:57,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,13:37:57,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,13:37:57,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,13:37:57,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,13:37:57,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,13:38:14,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-12,13:38:14,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,13:38:14,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,13:38:26,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-12,13:38:26,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-12,13:38:26,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,13:38:26,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-12,13:38:32,new-problem/problemModel:problem2,4.0.1,refresh view
2018-12-12,13:39:05,new-problem/problemModel:problem2,4.2.1,add goal state:obj2 on
2018-12-12,13:39:13,new-problem/problemModel:problem2,4.2.1,add goal state:obj1 on
2018-12-12,13:39:38,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-12,13:39:39,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,13:39:39,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,13:40:15,new-problem/generatedPlan:problem2,4.0.3,quit problem: problem2
2018-12-12,13:40:41,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,13:40:41,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,13:40:52,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,13:40:52,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,13:40:56,problem-list,3.1,add new problem: problem3
2018-12-12,13:40:56,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,13:40:56,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,13:40:56,new-problem/perception:problem3,4.3.0,no steps generated
