2018-12-12,14:53:00,home,0,create user User16
2018-12-12,15:17:03,action-list,1.1,add new action: action1
2018-12-12,15:17:43,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-12,15:18:17,new-action/perception:action1,2.0.1,refresh view
2018-12-12,15:18:51,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-12,15:18:51,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-12,15:19:27,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-12,15:20:00,new-action/demonstration:action1,2.2.2,stop demo
2018-12-12,15:20:04,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-12,15:20:47,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-12,15:20:47,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-12,15:21:31,new-action/actionModel:action1,2.3.2,add precondition:obj1 on
2018-12-12,15:21:52,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-12,15:22:05,new-action/actionModel:action1,2.3.2,add precondition:obj1 clear
2018-12-12,15:22:23,new-action/actionModel:action1,2.3.2,add precondition:obj1 flat
2018-12-12,15:22:54,new-action/actionModel:action1,2.3.2,add effect:obj1 on
2018-12-12,15:23:08,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-12,15:23:25,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-12,15:23:25,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-12,15:23:31,new-action/actionModel:action1,2.3.2,add effect:posM clear
2018-12-12,15:24:32,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-12,15:24:32,new-action/actionModel:action1,2.0.4,renamed action to move_suction
2018-12-12,15:24:32,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-12,15:24:32,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-12,15:25:08,problem-list,3.1,add new problem: problem1
2018-12-12,15:25:08,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,15:25:08,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,15:25:08,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,15:25:08,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,15:25:28,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-12,15:25:28,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,15:25:51,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-12,15:25:51,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-12,15:25:51,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-12,15:26:19,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-12,15:26:20,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-12,15:26:20,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,15:26:41,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-12,15:27:30,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-12,15:27:30,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-12,15:27:30,new-problem/problemModel:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,15:27:53,new-problem/problemModel:problem1,4.2.2,delete goal state:obj1 on
2018-12-12,15:28:00,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-12,15:28:01,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-12,15:28:01,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,15:28:41,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-12,15:28:42,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-12,15:28:42,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-12,15:28:42,new-problem/problemModel:problem1,4.2.2,delete goal state:obj1 on
2018-12-12,15:28:42,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-12,15:28:42,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-12,15:28:53,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-12,15:28:53,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,15:28:53,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:29:46,new-problem/generatedPlan:problem1,4.0.2,save problem: problem1
2018-12-12,15:29:46,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-12,15:29:46,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:29:51,problem-list,3.1,add new problem: problem2
2018-12-12,15:29:51,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:29:51,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,15:29:51,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:29:51,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,15:29:51,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:29:51,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,15:29:51,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:29:51,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,15:30:12,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-12,15:30:12,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:30:12,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,15:30:25,new-problem/perception:problem2,4.0.1,refresh view
2018-12-12,15:30:45,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-12,15:30:45,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-12,15:30:46,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:30:46,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-12,15:31:14,new-problem/problemModel:problem2,4.2.1,add goal state:obj1 on
2018-12-12,15:31:22,new-problem/problemModel:problem2,4.2.1,add goal state:obj2 on
2018-12-12,15:31:32,new-problem/generatedPlan:problem2,4.0.2,save problem: problem2
2018-12-12,15:31:32,new-problem/generatedPlan:problem2,4.0.5,switch to: generatedPlan
2018-12-12,15:31:32,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:31:32,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-12,15:31:45,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-12,15:31:45,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-12,15:31:45,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:31:45,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-12,15:32:01,new-problem/perception:problem2,4.0.2,save problem: problem2
2018-12-12,15:32:01,new-problem/perception:problem2,4.0.5,switch to: perception
2018-12-12,15:32:01,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:32:01,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,15:32:11,new-problem/generatedPlan:problem2,4.0.2,save problem: problem2
2018-12-12,15:32:11,new-problem/generatedPlan:problem2,4.0.5,switch to: generatedPlan
2018-12-12,15:32:11,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:32:11,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-12,15:34:09,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-12,15:34:09,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-12,15:34:09,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:34:09,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-12,15:34:14,new-problem/problemModel:problem2,4.2.2,delete goal state:obj2 on
2018-12-12,15:34:16,new-problem/generatedPlan:problem2,4.0.2,save problem: problem2
2018-12-12,15:34:16,new-problem/generatedPlan:problem2,4.0.5,switch to: generatedPlan
2018-12-12,15:34:16,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:34:16,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-12,15:34:18,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-12,15:34:18,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-12,15:34:18,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:34:18,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-12,15:34:19,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-12,15:34:19,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:34:19,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,15:34:40,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-12,15:34:40,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-12,15:34:40,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:34:40,new-problem/problemModel:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,15:34:45,new-problem/problemModel:problem2,4.2.1,add goal state:obj2 on
2018-12-12,15:34:50,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-12,15:34:50,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:34:50,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:35:36,new-problem/perception:problem2,4.0.2,save problem: problem2
2018-12-12,15:35:36,new-problem/perception:problem2,4.0.5,switch to: perception
2018-12-12,15:35:36,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:35:36,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:35:42,new-problem/perception:problem2,4.0.2,save problem: problem2
2018-12-12,15:35:42,new-problem/perception:problem2,4.0.3,quit problem: problem2
2018-12-12,15:35:43,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:35:43,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:35:44,problem-list,3.1,add new problem: problem3
2018-12-12,15:35:44,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:35:44,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:35:44,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-12,15:35:44,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:35:44,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:35:44,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-12,15:35:44,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:35:44,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:35:44,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-12,15:35:44,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:35:44,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:35:44,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-12,15:36:02,new-problem/perception:problem3,4.1.1,detect initial states: initial
2018-12-12,15:36:03,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:36:03,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:36:03,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-12,15:36:31,new-problem/perception:problem3,4.1.1,detect initial states: initial
2018-12-12,15:36:32,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:36:32,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:36:32,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-12,15:36:40,new-problem/perception:problem3,4.0.1,refresh view
2018-12-12,15:37:28,new-problem/problemModel:problem3,4.0.2,save problem: problem3
2018-12-12,15:37:28,new-problem/problemModel:problem3,4.0.5,switch to: problemModel
2018-12-12,15:37:29,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:37:29,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:37:29,new-problem/problemModel:problem3,4.3.0,no steps generated
2018-12-12,15:37:43,new-problem/problemModel:problem3,4.2.1,add goal state:obj2 on
2018-12-12,15:37:47,new-problem/generatedPlan:problem3,4.2.3,solve problem
2018-12-12,15:37:47,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:37:47,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:37:47,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,15:39:27,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:39:27,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:39:27,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,15:39:51,action-list,1.2,open action: move_suction
2018-12-12,15:39:51,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:39:51,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:39:51,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,15:39:51,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:39:51,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:39:51,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,15:39:51,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-12,15:39:51,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,15:39:51,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,15:39:54,new-action/perception:move_suction,2.1.2,change type to: cube
