2018-12-12,17:25:43,home,0,create user User17
2018-12-12,18:00:57,action-list,1.1,add new action: action1
2018-12-12,18:01:16,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-12,18:01:44,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-12,18:02:25,new-action/perception:action1,2.0.1,refresh view
2018-12-12,18:03:18,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-12,18:03:18,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-12,18:03:42,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-12,18:04:14,new-action/demonstration:action1,2.2.2,stop demo
2018-12-12,18:04:22,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-12,18:05:13,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-12,18:05:13,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-12,18:05:49,new-action/actionModel:action1,2.3.2,add precondition:obj1 on
2018-12-12,18:07:23,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-12,18:07:36,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-12,18:07:58,new-action/actionModel:action1,2.3.2,add effect:posM clear
2018-12-12,18:09:05,new-action/actionModel:action1,2.3.1,delete effect:posM clear
2018-12-12,18:09:08,new-action/actionModel:action1,2.3.2,add effect:obj1 on
2018-12-12,18:09:18,new-action/actionModel:action1,2.3.2,add effect:posM clear
2018-12-12,18:10:05,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-12,18:10:05,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-12,18:11:48,new-action/actionModel:action1,2.3.1,delete precondition:posM clear
2018-12-12,18:12:13,new-action/actionModel:action1,2.3.2,add precondition:obj1 stackable
2018-12-12,18:12:54,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-12,18:12:54,new-action/actionModel:action1,2.0.4,renamed action to move_vac
2018-12-12,18:12:54,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-12,18:12:54,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-12,18:13:23,problem-list,3.1,add new problem: problem1
2018-12-12,18:13:23,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,18:13:23,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,18:13:23,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,18:13:23,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,18:13:48,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-12,18:13:48,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-12,18:14:17,new-problem/perception:problem1,4.0.1,refresh view
2018-12-12,18:14:39,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-12,18:14:39,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-12,18:14:39,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-12,18:15:05,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-12,18:15:05,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-12,18:15:06,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:15:33,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-12,18:16:51,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-12,18:17:17,problem-list,3.1,add new problem: problem2
2018-12-12,18:17:17,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:17:17,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,18:17:17,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:17:17,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,18:17:17,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:17:17,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,18:17:17,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:17:17,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,18:17:40,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-12,18:17:40,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:17:40,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-12,18:17:45,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-12,18:17:45,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-12,18:17:45,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:17:45,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-12,18:18:05,new-problem/problemModel:problem2,4.0.1,refresh view
2018-12-12,18:18:30,new-problem/problemModel:problem2,4.2.1,add goal state:obj1 on
2018-12-12,18:18:46,new-problem/problemModel:problem2,4.2.1,add goal state:obj2 on
2018-12-12,18:18:48,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-12,18:18:48,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:18:48,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:19:52,new-problem/generatedPlan:problem2,4.3.2,execute plan
2018-12-12,18:20:39,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:20:39,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:20:46,action-list,1.2,open action: move_vac
2018-12-12,18:20:46,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:20:46,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:20:46,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:20:46,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:20:46,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:20:46,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:20:53,new-action/demonstration:move_vac,2.0.2,save action: move_vac
2018-12-12,18:20:53,new-action/demonstration:move_vac,2.0.5,switch to: demonstration
2018-12-12,18:20:53,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:20:53,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:20:54,new-action/perception:move_vac,2.0.2,save action: move_vac
2018-12-12,18:20:54,new-action/perception:move_vac,2.0.5,switch to: perception
2018-12-12,18:20:54,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:20:54,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:20:56,new-action/actionModel:move_vac,2.0.2,save action: move_vac
2018-12-12,18:20:56,new-action/actionModel:move_vac,2.0.5,switch to: actionModel
2018-12-12,18:20:56,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:20:56,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:21:01,new-action/actionModel:move_vac,2.3.1,delete precondition:obj1 stackable
2018-12-12,18:22:09,new-action/actionModel:move_vac,2.3.2,add precondition:posM clear
2018-12-12,18:22:24,new-action/actionModel:move_vac,2.0.2,save action: move_vac
2018-12-12,18:22:24,new-action/actionModel:move_vac,2.0.3,quit action: move_vac
2018-12-12,18:22:24,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:22:24,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:22:28,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:22:28,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:22:35,problem-list,3.2,open problem: problem2
2018-12-12,18:22:35,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:22:35,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:22:35,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:22:35,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:22:35,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:22:35,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:22:35,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:22:35,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:22:35,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:22:35,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:22:53,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-12,18:22:53,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-12,18:22:53,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:22:53,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:22:53,new-problem/problemModel:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-12,18:22:56,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-12,18:22:56,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:22:56,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:22:56,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:23:34,new-problem/generatedPlan:problem2,4.3.2,execute plan
2018-12-12,18:24:02,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:02,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:02,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:03,action-list,1.2,open action: move_vac
2018-12-12,18:24:03,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:03,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:03,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:04,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:04,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:04,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:04,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:04,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:04,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:05,new-action/demonstration:move_vac,2.0.2,save action: move_vac
2018-12-12,18:24:05,new-action/demonstration:move_vac,2.0.5,switch to: demonstration
2018-12-12,18:24:05,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:05,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:05,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:06,new-action/actionModel:move_vac,2.0.2,save action: move_vac
2018-12-12,18:24:06,new-action/actionModel:move_vac,2.0.5,switch to: actionModel
2018-12-12,18:24:06,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:06,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:06,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:22,new-action/actionModel:move_vac,2.3.2,add precondition:obj1 stackable
2018-12-12,18:24:26,new-action/actionModel:move_vac,2.0.2,save action: move_vac
2018-12-12,18:24:26,new-action/actionModel:move_vac,2.0.3,quit action: move_vac
2018-12-12,18:24:26,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:26,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:26,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:28,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:28,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:28,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:30,problem-list,3.1,add new problem: problem3
2018-12-12,18:24:30,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:30,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:30,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:30,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-12,18:24:30,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:30,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:30,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:30,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-12,18:24:30,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:30,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:30,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:30,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-12,18:24:30,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:30,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:30,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:30,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-12,18:24:49,new-problem/perception:problem3,4.1.1,detect initial states: initial
2018-12-12,18:24:49,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:49,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:49,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:49,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-12,18:24:54,new-problem/problemModel:problem3,4.0.2,save problem: problem3
2018-12-12,18:24:54,new-problem/problemModel:problem3,4.0.5,switch to: problemModel
2018-12-12,18:24:54,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:24:54,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:54,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:24:54,new-problem/problemModel:problem3,4.3.0,no steps generated
2018-12-12,18:25:26,new-problem/problemModel:problem3,4.2.1,add goal state:obj2 on
2018-12-12,18:25:28,new-problem/generatedPlan:problem3,4.2.3,solve problem
2018-12-12,18:25:28,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:25:28,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:25:28,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:25:28,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,18:26:10,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:26:10,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:10,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:10,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,18:26:16,action-list,1.2,open action: move_vac
2018-12-12,18:26:16,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:26:16,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:16,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:16,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,18:26:16,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:16,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:16,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,18:26:16,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:26:16,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:16,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:16,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,18:26:18,new-action/demonstration:move_vac,2.0.2,save action: move_vac
2018-12-12,18:26:18,new-action/demonstration:move_vac,2.0.5,switch to: demonstration
2018-12-12,18:26:18,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:26:18,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:18,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:18,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,18:26:18,new-action/actionModel:move_vac,2.0.2,save action: move_vac
2018-12-12,18:26:18,new-action/actionModel:move_vac,2.0.5,switch to: actionModel
2018-12-12,18:26:19,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-12,18:26:19,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:19,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-12,18:26:19,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-12,18:26:20,new-action/actionModel:move_vac,2.3.1,delete precondition:posM clear
2018-12-12,18:26:50,new-action/actionModel:move_vac,2.0.2,save action: move_vac
