2018-12-13,10:16:10,home,0,create user User18
2018-12-13,10:42:41,action-list,1.1,add new action: action1
2018-12-13,10:43:17,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-13,10:43:37,new-action/perception:action1,2.0.1,refresh view
2018-12-13,10:44:12,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-13,10:44:12,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-13,10:44:29,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-13,10:44:57,new-action/demonstration:action1,2.2.2,stop demo
2018-12-13,10:45:06,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-13,10:45:56,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,10:45:56,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-13,10:46:23,new-action/actionModel:action1,2.1.1,detect action conditions: Effect
2018-12-13,10:46:35,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-13,10:46:35,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,10:47:22,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,10:47:22,new-action/actionModel:action1,2.0.4,renamed action to action-vac
2018-12-13,10:47:22,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-13,10:47:22,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-13,10:48:40,problem-list,3.1,add new problem: problem1
2018-12-13,10:48:40,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,10:48:40,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,10:48:40,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,10:48:40,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,10:49:02,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-13,10:49:02,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,10:49:14,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-13,10:49:14,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-13,10:49:15,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-13,10:49:36,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-13,10:49:44,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-13,10:49:44,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,10:50:07,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-13,10:51:23,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-13,10:51:28,problem-list,3.1,add new problem: problem2
2018-12-13,10:51:28,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,10:51:28,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-13,10:51:28,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
