2018-12-13,11:38:48,home,0,create user User19
2018-12-13,11:55:06,action-list,1.1,add new action: action1
2018-12-13,11:55:32,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-13,11:55:49,new-action/perception:action1,2.0.1,refresh view
2018-12-13,11:56:24,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-13,11:56:24,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-13,11:57:00,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-13,11:57:36,new-action/demonstration:action1,2.2.2,stop demo
2018-12-13,11:57:49,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-13,11:58:36,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,11:58:36,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-13,11:59:04,new-action/actionModel:action1,2.1.1,detect action conditions: Effect
2018-12-13,11:59:51,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-13,12:00:26,new-action/actionModel:action1,2.3.2,add precondition:obj1 clear
2018-12-13,12:00:32,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-13,12:00:47,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-13,12:00:47,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,12:01:28,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,12:01:28,new-action/actionModel:action1,2.0.4,renamed action to VACUUM
2018-12-13,12:01:28,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-13,12:01:28,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-13,12:02:05,problem-list,3.1,add new problem: problem1
2018-12-13,12:02:05,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,12:02:05,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,12:02:05,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,12:02:05,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,12:02:27,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-13,12:02:27,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,12:02:44,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-13,12:02:44,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-13,12:02:44,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-13,12:02:59,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-13,12:03:12,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-13,12:03:12,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:03:33,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-13,12:04:30,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-13,12:04:32,problem-list,3.1,add new problem: problem2
2018-12-13,12:04:32,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:04:32,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-13,12:04:32,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:04:32,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-13,12:04:32,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:04:32,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-13,12:04:32,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:04:32,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-13,12:04:51,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-13,12:04:51,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:04:51,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-13,12:05:05,new-problem/perception:problem2,4.0.1,refresh view
2018-12-13,12:05:32,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-13,12:05:32,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-13,12:05:33,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:05:33,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-13,12:05:45,new-problem/problemModel:problem2,4.2.1,add goal state:obj1 on
2018-12-13,12:05:52,new-problem/problemModel:problem2,4.2.1,add goal state:obj2 on
2018-12-13,12:06:03,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-13,12:06:03,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:06:03,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:06:33,new-problem/generatedPlan:problem2,4.3.1,show hints
2018-12-13,12:08:11,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:11,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:13,action-list,1.2,open action: VACUUM
2018-12-13,12:08:14,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:14,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:14,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:14,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:14,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:14,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:18,new-action/actionModel:VACUUM,2.0.2,save action: VACUUM
2018-12-13,12:08:18,new-action/actionModel:VACUUM,2.0.5,switch to: actionModel
2018-12-13,12:08:18,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:18,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:33,new-action/actionModel:VACUUM,2.3.2,add effect:obj1 on
2018-12-13,12:08:40,new-action/actionModel:VACUUM,2.0.2,save action: VACUUM
2018-12-13,12:08:40,new-action/actionModel:VACUUM,2.0.3,quit action: VACUUM
2018-12-13,12:08:40,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:40,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:42,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:42,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:47,problem-list,3.2,open problem: problem2
2018-12-13,12:08:47,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:47,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:47,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:47,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:47,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:47,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:47,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:47,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:47,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:47,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:52,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-13,12:08:52,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-13,12:08:52,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:52,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:52,new-problem/problemModel:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:54,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-13,12:08:54,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:08:54,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:08:54,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:09:47,new-problem/generatedPlan:problem2,4.0.3,quit problem: problem2
2018-12-13,12:09:50,problem-list,3.1,add new problem: problem3
2018-12-13,12:09:50,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:09:50,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:09:50,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:09:51,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-13,12:09:51,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:09:51,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:09:51,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:09:51,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-13,12:09:51,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,12:09:51,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-13,12:09:51,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
