2018-12-13,13:55:06,home,0,create user User20
2018-12-13,14:30:13,action-list,1.1,add new action: action1
2018-12-13,14:30:44,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-13,14:31:10,new-action/perception:action1,2.0.1,refresh view
2018-12-13,14:31:44,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-13,14:31:44,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-13,14:32:04,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-13,14:32:28,new-action/demonstration:action1,2.2.2,stop demo
2018-12-13,14:32:37,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-13,14:33:24,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,14:33:24,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-13,14:34:07,new-action/actionModel:action1,2.3.2,add effect:obj1 flat
2018-12-13,14:34:22,new-action/actionModel:action1,2.3.1,delete effect:obj1 flat
2018-12-13,14:34:30,new-action/actionModel:action1,2.3.2,add precondition:obj1 flat
2018-12-13,14:34:53,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-13,14:35:20,new-action/actionModel:action1,2.3.2,add precondition:obj1 stackable
2018-12-13,14:36:37,new-action/actionModel:action1,2.3.2,add effect:obj1 on
2018-12-13,14:37:01,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-13,14:37:28,new-action/actionModel:action1,2.3.2,add effect:posM clear
2018-12-13,14:37:39,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-13,14:37:39,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,14:38:31,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,14:38:31,new-action/actionModel:action1,2.0.4,renamed action to Vacuum
2018-12-13,14:38:31,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-13,14:38:31,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-13,14:39:06,problem-list,3.1,add new problem: problem1
2018-12-13,14:39:06,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,14:39:06,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,14:39:06,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,14:39:06,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,14:39:25,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-13,14:39:25,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,14:39:56,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-13,14:39:56,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-13,14:39:56,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-13,14:40:41,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-13,14:40:45,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-13,14:40:45,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,14:41:21,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-13,14:42:49,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-13,14:42:51,problem-list,3.1,add new problem: problem2
2018-12-13,14:42:51,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-13,14:42:51,new-problem/perception:problem2,4.3.0,no steps generated
