2018-12-13,15:46:42,home,0,create user User21
2018-12-13,16:07:27,action-list,1.1,add new action: action1
2018-12-13,16:07:54,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-13,16:08:05,new-action/perception:action1,2.0.1,refresh view
2018-12-13,16:08:27,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-13,16:08:27,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-13,16:08:40,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-13,16:09:10,new-action/demonstration:action1,2.2.2,stop demo
2018-12-13,16:09:18,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-13,16:10:02,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,16:10:02,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-13,16:10:38,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-13,16:10:50,new-action/actionModel:action1,2.3.2,add precondition:obj1 clear
2018-12-13,16:11:03,new-action/actionModel:action1,2.3.2,add effect:posM clear
2018-12-13,16:11:09,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-13,16:11:17,new-action/actionModel:action1,2.3.2,add effect:obj1 clear
2018-12-13,16:11:35,new-action/actionModel:action1,2.3.2,add effect:obj1 on
2018-12-13,16:11:36,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-13,16:11:36,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,16:12:43,new-action/actionModel:action1,2.3.2,add precondition:obj1 clear
2018-12-13,16:13:30,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,16:13:30,new-action/actionModel:action1,2.0.4,renamed action to vacuumMove
2018-12-13,16:13:30,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-13,16:13:30,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-13,16:13:58,problem-list,3.1,add new problem: problem1
2018-12-13,16:13:58,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,16:13:58,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,16:13:58,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,16:13:58,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,16:14:19,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-13,16:14:19,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,16:14:52,new-problem/perception:problem1,4.0.1,refresh view
2018-12-13,16:15:13,new-problem/problemModel:problem1,4.0.2,save problem: problem1
