2018-12-13,17:26:54,home,0,create user User22
2018-12-13,18:33:17,action-list,1.1,add new action: action1
2018-12-13,18:33:45,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-13,18:33:57,new-action/perception:action1,2.0.1,refresh view
2018-12-13,18:34:30,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-13,18:34:30,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-13,18:34:43,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-13,18:35:22,new-action/demonstration:action1,2.2.2,stop demo
2018-12-13,18:35:24,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-13,18:36:10,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,18:36:10,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-13,18:37:04,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-13,18:37:45,new-action/actionModel:action1,2.3.2,add effect:obj1 on
2018-12-13,18:37:58,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-13,18:38:17,new-action/actionModel:action1,2.3.2,add effect:posM clear
2018-12-13,18:38:22,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-13,18:38:23,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,18:39:11,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-13,18:39:11,new-action/actionModel:action1,2.0.4,renamed action to vaccum-base1
2018-12-13,18:39:11,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-13,18:39:11,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-13,18:39:41,problem-list,3.1,add new problem: problem1
2018-12-13,18:39:42,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,18:39:42,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,18:39:42,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,18:39:42,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,18:39:55,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-13,18:39:55,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-13,18:40:12,new-problem/perception:problem1,4.1.1,detect initial states: initial
