2018-12-14,11:03:46,home,0,create user User23
2018-12-14,11:47:03,action-list,1.1,add new action: action1
2018-12-14,11:47:34,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-14,11:47:54,new-action/perception:action1,2.0.1,refresh view
2018-12-14,11:48:16,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-14,11:48:16,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-14,11:48:36,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-14,11:49:10,new-action/demonstration:action1,2.2.2,stop demo
2018-12-14,11:49:16,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-14,11:50:02,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,11:50:02,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-14,11:51:23,new-action/actionModel:action1,2.3.2,add precondition:obj1 on
2018-12-14,11:51:51,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-14,11:52:38,new-action/actionModel:action1,2.3.2,add effect:posM clear
2018-12-14,11:53:08,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-14,11:53:22,new-action/actionModel:action1,2.3.2,add effect:obj1 on
2018-12-14,11:54:48,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-14,11:54:48,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,11:56:15,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,11:56:15,new-action/actionModel:action1,2.0.4,renamed action to Suction-BtoM
2018-12-14,11:56:15,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-14,11:56:15,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-14,11:56:45,problem-list,3.1,add new problem: problem1
2018-12-14,11:56:45,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,11:56:45,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,11:56:45,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,11:56:45,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,11:57:05,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-14,11:57:05,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,11:57:36,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-14,11:57:36,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-14,11:57:36,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-14,11:58:01,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-14,11:58:02,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-14,11:58:02,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,11:58:29,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-14,12:01:03,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-14,12:01:08,problem-list,3.1,add new problem: problem2
2018-12-14,12:01:08,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:01:08,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,12:01:08,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:01:08,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,12:01:08,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:01:08,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,12:01:08,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:01:08,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,12:01:38,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-14,12:01:38,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:01:39,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,12:01:55,new-problem/perception:problem2,4.0.1,refresh view
2018-12-14,12:02:25,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-14,12:02:25,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-14,12:02:25,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:02:25,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-14,12:03:04,new-problem/problemModel:problem2,4.2.1,add goal state:obj1 on
2018-12-14,12:03:16,new-problem/problemModel:problem2,4.2.1,add goal state:obj2 on
2018-12-14,12:03:21,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-14,12:03:21,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:03:21,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-14,12:04:05,new-problem/generatedPlan:problem2,4.0.3,quit problem: problem2
2018-12-14,12:04:09,problem-list,3.1,add new problem: problem3
2018-12-14,12:04:09,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:04:09,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-14,12:04:10,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-14,12:04:10,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:04:10,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-14,12:04:10,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-14,12:04:10,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:04:10,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-14,12:04:10,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-14,12:04:10,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:04:10,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-14,12:04:10,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-14,12:04:28,new-problem/perception:problem3,4.1.1,detect initial states: initial
2018-12-14,12:04:29,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:04:29,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-14,12:04:29,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-14,12:04:35,new-problem/perception:problem3,4.0.1,refresh view
2018-12-14,12:04:59,new-problem/problemModel:problem3,4.0.2,save problem: problem3
2018-12-14,12:04:59,new-problem/problemModel:problem3,4.0.5,switch to: problemModel
2018-12-14,12:04:59,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:04:59,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-14,12:04:59,new-problem/problemModel:problem3,4.3.0,no steps generated
2018-12-14,12:05:26,new-problem/problemModel:problem3,4.2.1,add goal state:obj2 on
2018-12-14,12:05:41,new-problem/problemModel:problem3,4.2.2,delete goal state:obj2 on
2018-12-14,12:05:42,new-problem/problemModel:problem3,4.2.1,add goal state:obj2 on
2018-12-14,12:05:51,new-problem/generatedPlan:problem3,4.2.3,solve problem
2018-12-14,12:05:51,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,12:05:51,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-14,12:05:51,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-14,12:09:14,new-problem/problemModel:problem3,4.0.2,save problem: problem3
2018-12-14,12:09:14,new-problem/problemModel:problem3,4.0.5,switch to: problemModel
2018-12-14,12:09:14,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
