2018-12-14,14:32:13,home,0,create user User24
2018-12-14,15:22:13,action-list,1.1,add new action: action1
2018-12-14,15:22:55,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-14,15:23:11,new-action/perception:action1,2.0.1,refresh view
2018-12-14,15:23:29,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-14,15:23:29,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-14,15:23:50,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-14,15:24:25,new-action/demonstration:action1,2.2.2,stop demo
2018-12-14,15:24:31,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-14,15:25:16,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,15:25:16,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-14,15:25:42,new-action/actionModel:action1,2.1.1,detect action conditions: Effect
2018-12-14,15:26:00,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-14,15:26:00,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,15:26:50,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,15:26:50,new-action/actionModel:action1,2.0.4,renamed action to VacuumMove
2018-12-14,15:26:50,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-14,15:26:50,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-14,15:27:26,problem-list,3.1,add new problem: problem1
2018-12-14,15:27:26,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,15:27:26,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,15:27:26,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,15:27:26,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,15:27:48,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-14,15:27:48,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,15:28:07,new-problem/perception:problem1,4.0.1,refresh view
2018-12-14,15:28:32,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-14,15:28:32,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-14,15:28:32,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-14,15:29:18,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-14,15:29:19,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-14,15:29:19,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:29:46,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-14,15:31:03,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-14,15:31:25,problem-list,3.1,add new problem: problem2
2018-12-14,15:31:25,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:31:25,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,15:31:25,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:31:25,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,15:31:25,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:31:25,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,15:31:25,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:31:25,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,15:31:46,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-14,15:31:46,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:31:46,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,15:32:02,new-problem/perception:problem2,4.0.1,refresh view
2018-12-14,15:32:18,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-14,15:32:18,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-14,15:32:18,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:32:18,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-14,15:32:31,new-problem/problemModel:problem2,4.2.1,add goal state:obj1 on
2018-12-14,15:32:54,new-problem/problemModel:problem2,4.2.1,add goal state:obj2 on
2018-12-14,15:33:03,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-14,15:33:03,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:33:03,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:35:19,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:35:19,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:35:24,action-list,1.2,open action: VacuumMove
2018-12-14,15:35:25,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:35:25,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:35:25,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:35:25,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:35:25,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:35:25,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:35:32,new-action/actionModel:VacuumMove,2.0.2,save action: VacuumMove
2018-12-14,15:35:32,new-action/actionModel:VacuumMove,2.0.5,switch to: actionModel
2018-12-14,15:35:32,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:35:32,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:00,new-action/actionModel:VacuumMove,2.3.2,add precondition:posM clear
2018-12-14,15:36:45,new-action/actionModel:VacuumMove,2.0.2,save action: VacuumMove
2018-12-14,15:36:45,new-action/actionModel:VacuumMove,2.0.3,quit action: VacuumMove
2018-12-14,15:36:45,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:36:45,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:47,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:36:47,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:50,problem-list,3.2,open problem: problem2
2018-12-14,15:36:50,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:50,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:36:50,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:50,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:50,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:36:50,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:51,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:51,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:36:51,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:51,new-problem/perception:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:54,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-14,15:36:54,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-14,15:36:54,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:36:54,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:54,new-problem/problemModel:problem2,4.3.0.1,plan found with number of steps: 2
2018-12-14,15:36:57,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-14,15:36:57,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:36:57,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:36:57,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:08,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:40:08,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:08,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:10,action-list,1.2,open action: VacuumMove
2018-12-14,15:40:10,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:40:10,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:10,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:11,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:40:11,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:11,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:11,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:40:11,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:11,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:13,new-action/actionModel:VacuumMove,2.0.2,save action: VacuumMove
2018-12-14,15:40:13,new-action/actionModel:VacuumMove,2.0.5,switch to: actionModel
2018-12-14,15:40:13,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:40:13,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:13,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:27,new-action/actionModel:VacuumMove,2.3.2,add effect:posB clear
2018-12-14,15:40:34,new-action/actionModel:VacuumMove,2.0.2,save action: VacuumMove
2018-12-14,15:40:34,new-action/actionModel:VacuumMove,2.0.3,quit action: VacuumMove
2018-12-14,15:40:34,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:40:34,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:34,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:36,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:40:36,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:36,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:38,problem-list,3.2,open problem: problem2
2018-12-14,15:40:38,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,15:40:38,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:40:38,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:38,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:38,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,15:40:38,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:40:38,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:38,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:39,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,15:40:39,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:40:39,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:39,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:39,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,15:40:43,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-14,15:40:43,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-14,15:40:43,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,15:40:43,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:43,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-14,15:40:43,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-14,15:40:47,new-problem/generatedPlan:problem2,4.2.3,solve problem
