2018-12-14,16:48:42,home,0,create user User25
2018-12-14,16:52:22,action-list,1.1,add new action: action1
2018-12-14,16:52:52,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-14,16:53:06,new-action/perception:action1,2.0.1,refresh view
2018-12-14,16:53:36,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-14,16:53:36,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-14,16:54:02,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-14,16:54:27,new-action/demonstration:action1,2.2.2,stop demo
2018-12-14,16:54:33,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-14,16:55:20,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,16:55:20,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-14,16:58:04,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-14,16:58:33,new-action/actionModel:action1,2.1.1,detect action conditions: Effect
2018-12-14,16:59:09,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-14,16:59:30,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-14,17:00:27,new-action/actionModel:action1,2.3.2,add precondition:obj1 clear
2018-12-14,17:00:33,new-action/actionModel:action1,2.3.2,add effect:obj1 clear
2018-12-14,17:01:00,new-action/actionModel:action1,2.3.2,add precondition:obj1 stackable
2018-12-14,17:01:51,new-action/actionModel:action1,2.3.1,delete effect:obj1 clear
2018-12-14,17:02:09,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-14,17:02:09,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,17:02:54,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,17:02:54,new-action/actionModel:action1,2.0.4,renamed action to movevacuum
2018-12-14,17:02:54,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-14,17:02:54,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-14,17:03:30,problem-list,3.1,add new problem: problem1
2018-12-14,17:03:30,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,17:03:30,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,17:03:30,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,17:03:30,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,17:03:52,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-14,17:03:52,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,17:03:58,new-problem/perception:problem1,4.0.1,refresh view
2018-12-14,17:04:38,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-14,17:04:38,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-14,17:04:39,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-14,17:04:56,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-14,17:04:59,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-14,17:04:59,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,17:05:26,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-14,17:06:45,new-problem/generatedPlan:problem1,4.0.2,save problem: problem1
2018-12-14,17:06:45,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-14,17:06:45,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,17:06:49,problem-list,3.1,add new problem: problem2
2018-12-14,17:06:49,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,17:06:49,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,17:06:49,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,17:06:49,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,17:06:49,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,17:06:49,new-problem/perception:problem2,4.3.0,no steps generated
