2018-12-14,18:40:11,home,0,create user User26
2018-12-14,18:43:03,action-list,1.1,add new action: action1
2018-12-14,18:43:32,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-14,18:43:54,new-action/perception:action1,2.0.1,refresh view
2018-12-14,18:44:27,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-14,18:44:27,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-14,18:44:42,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-14,18:45:05,new-action/demonstration:action1,2.2.2,stop demo
2018-12-14,18:45:14,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-14,18:46:01,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,18:46:01,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-14,18:46:26,new-action/actionModel:action1,2.1.1,detect action conditions: Effect
2018-12-14,18:47:15,new-action/actionModel:action1,2.3.2,add precondition:posA clear
2018-12-14,18:47:23,new-action/actionModel:action1,2.3.1,delete precondition:posA clear
2018-12-14,18:47:37,new-action/actionModel:action1,2.3.2,add precondition:posM clear
2018-12-14,18:48:03,new-action/actionModel:action1,2.3.2,add effect:posB clear
2018-12-14,18:48:10,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-14,18:48:10,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,18:48:47,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-14,18:48:47,new-action/actionModel:action1,2.0.4,renamed action to movevac
2018-12-14,18:48:47,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-14,18:48:47,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-14,18:49:16,problem-list,3.1,add new problem: problem1
2018-12-14,18:49:17,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,18:49:17,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,18:49:17,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,18:49:17,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,18:49:39,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-14,18:49:39,new-problem/perception:problem1,4.3.0,no steps generated
2018-12-14,18:49:56,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-14,18:49:56,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-14,18:49:56,new-problem/problemModel:problem1,4.3.0,no steps generated
2018-12-14,18:50:06,new-problem/problemModel:problem1,4.2.1,add goal state:posA clear
2018-12-14,18:50:14,new-problem/problemModel:problem1,4.2.2,delete goal state:posA clear
2018-12-14,18:51:01,new-problem/problemModel:problem1,4.2.1,add goal state:obj1 on
2018-12-14,18:51:11,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-14,18:51:11,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,18:51:37,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-14,18:52:41,new-problem/generatedPlan:problem1,4.0.2,save problem: problem1
2018-12-14,18:52:41,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-14,18:52:41,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,18:52:42,problem-list,3.1,add new problem: problem2
2018-12-14,18:52:42,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,18:52:42,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,18:52:42,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,18:52:42,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,18:52:42,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,18:52:42,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,18:52:42,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,18:52:42,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,18:53:01,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-14,18:53:02,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,18:53:02,new-problem/perception:problem2,4.3.0,no steps generated
2018-12-14,18:53:10,new-problem/perception:problem2,4.0.1,refresh view
2018-12-14,18:53:20,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-14,18:53:20,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-14,18:53:20,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,18:53:20,new-problem/problemModel:problem2,4.3.0,no steps generated
2018-12-14,18:53:47,new-problem/problemModel:problem2,4.2.1,add goal state:obj1 on
2018-12-14,18:54:00,new-problem/problemModel:problem2,4.2.1,add goal state:obj2 on
2018-12-14,18:54:07,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-14,18:54:07,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
2018-12-14,18:54:07,new-problem/generatedPlan:problem2,4.3.0.1,plan found with number of steps: 3
2018-12-14,18:54:29,new-problem/generatedPlan:problem2,4.0.2,save problem: problem2
2018-12-14,18:54:29,new-problem/generatedPlan:problem2,4.0.3,quit problem: problem2
2018-12-14,18:54:30,new-problem/generatedPlan:problem1,4.3.0.1,plan found with number of steps: 1
