2018-12-06,17:00:44,home,0,create user User6
2018-12-06,17:02:08,action-list,1.1,add new action: action1
2018-12-06,17:03:17,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-06,17:03:26,new-action/perception:action1,2.0.1,refresh view
2018-12-06,17:03:53,new-action/perception:action1,2.1.2,change type to: base
2018-12-06,17:04:00,new-action/perception:action1,2.0.1,refresh view
2018-12-06,17:04:03,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-06,17:04:03,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-06,17:04:16,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-06,17:05:02,new-action/demonstration:action1,2.2.2,stop demo
2018-12-06,17:05:09,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-06,17:05:23,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-06,17:06:13,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-06,17:06:54,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-06,17:06:54,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-06,17:07:22,new-action/actionModel:action1,2.1.1,detect action conditions: Effect
2018-12-06,17:07:57,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-06,17:07:57,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-06,17:08:15,new-action/perception:action1,2.0.2,save action: action1
2018-12-06,17:08:15,new-action/perception:action1,2.0.5,switch to: perception
2018-12-06,17:08:20,new-action/perception:action1,2.1.2,change type to: base
2018-12-06,17:08:57,new-action/perception:action1,2.0.2,save action: action1
2018-12-06,17:08:57,new-action/perception:action1,2.0.4,renamed action to Gripper1
2018-12-06,17:08:57,new-action/perception:action1,2.0.3,quit action: action1
2018-12-06,17:09:53,problem-list,3.1,add new problem: problem1
2018-12-06,17:10:22,problem-list,3.2,open problem: problem1
2018-12-06,17:10:45,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-06,17:10:54,new-problem/perception:problem1,4.1.2,change type to: base
2018-12-06,17:11:13,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-06,17:11:18,new-problem/perception:problem1,4.1.2,change type to: base
2018-12-06,17:11:20,new-problem/perception:problem1,4.0.1,refresh view
2018-12-06,17:12:02,new-problem/perception:problem1,4.0.2,save problem: problem1
2018-12-06,17:12:11,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-06,17:12:11,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-06,17:12:47,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-06,17:12:54,new-problem/generatedPlan:problem1,4.3.1,show hints
2018-12-06,17:13:50,new-problem/perception:problem1,4.0.2,save problem: problem1
2018-12-06,17:13:50,new-problem/perception:problem1,4.0.5,switch to: perception
2018-12-06,17:14:02,problem-list,3.2,open problem: problem1
2018-12-06,17:14:07,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-06,17:14:07,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
