2018-12-07,10:27:51,home,0,create user User7
2018-12-07,10:28:17,action-list,1.1,add new action: action1
2018-12-07,10:29:10,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-07,10:29:24,new-action/perception:action1,2.1.2,change type to: base
2018-12-07,10:29:32,new-action/perception:action1,2.0.1,refresh view
2018-12-07,10:30:00,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-07,10:30:00,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-07,10:30:45,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-07,10:31:12,new-action/demonstration:action1,2.2.2,stop demo
2018-12-07,10:31:19,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-07,10:32:16,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-07,10:32:16,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-07,10:32:47,new-action/actionModel:action1,2.1.1,detect action conditions: Effect
2018-12-07,10:33:04,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-07,10:33:04,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-07,10:33:16,new-action/perception:action1,2.0.2,save action: action1
2018-12-07,10:33:16,new-action/perception:action1,2.0.5,switch to: perception
2018-12-07,10:33:20,new-action/perception:action1,2.1.2,change type to: base
2018-12-07,10:33:24,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-07,10:33:24,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-07,10:33:56,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-07,10:33:56,new-action/actionModel:action1,2.0.4,renamed action to Vacuum
2018-12-07,10:33:56,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-07,10:35:39,problem-list,3.1,add new problem: problem1
2018-12-07,10:36:03,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-07,10:36:16,new-problem/perception:problem1,4.1.2,change type to: base
2018-12-07,10:36:25,new-problem/perception:problem1,4.0.2,save problem: problem1
2018-12-07,10:36:32,new-problem/perception:problem1,4.0.1,refresh view
2018-12-07,10:37:29,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-07,10:37:29,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-07,10:38:24,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-07,10:38:36,new-problem/generatedPlan:problem1,4.3.1,show hints
2018-12-07,10:39:27,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-07,10:39:27,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-07,10:39:33,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-07,10:41:31,new-problem/perception:problem1,4.0.2,save problem: problem1
2018-12-07,10:41:31,new-problem/perception:problem1,4.0.5,switch to: perception
2018-12-07,10:41:33,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-07,10:41:33,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-07,10:41:40,new-problem/problemModel:problem1,4.2.2,delete goal state:obj1 on
2018-12-07,10:41:43,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-07,10:41:43,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-07,10:42:04,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-07,10:43:01,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-07,10:43:10,problem-list,3.1,add new problem: problem2
2018-12-07,10:43:29,new-problem/perception:problem2,4.1.1,detect initial states: initial
2018-12-07,10:43:35,new-problem/perception:problem2,4.1.2,change type to: base
2018-12-07,10:43:38,new-problem/perception:problem2,4.1.2,change type to: base
2018-12-07,10:43:43,new-problem/perception:problem2,4.0.2,save problem: problem2
2018-12-07,10:43:55,new-problem/problemModel:problem2,4.0.2,save problem: problem2
2018-12-07,10:43:55,new-problem/problemModel:problem2,4.0.5,switch to: problemModel
2018-12-07,10:44:11,new-problem/problemModel:problem2,4.0.1,refresh view
2018-12-07,10:44:53,new-problem/generatedPlan:problem2,4.2.3,solve problem
2018-12-07,10:44:53,new-problem/generatedPlan:problem2,4.3.0,no steps generated
2018-12-07,10:45:55,new-problem/generatedPlan:problem2,4.3.2,execute plan
2018-12-07,10:46:27,new-problem/generatedPlan:problem2,4.3.1,show hints
2018-12-07,10:48:13,action-list,1.2,open action: Vacuum
2018-12-07,10:48:30,new-action/actionModel:Vacuum,2.0.2,save action: Vacuum
2018-12-07,10:48:30,new-action/actionModel:Vacuum,2.0.5,switch to: actionModel
