2018-12-07,16:27:53,home,0,create user User9
2018-12-07,17:04:59,action-list,1.1,add new action: action1
2018-12-07,17:05:53,new-action/perception:action1,2.1.1,detect action conditions: Precondition
2018-12-07,17:06:25,new-action/perception:action1,2.0.1,refresh view
2018-12-07,17:07:35,new-action/demonstration:action1,2.0.2,save action: action1
2018-12-07,17:07:35,new-action/demonstration:action1,2.0.5,switch to: demonstration
2018-12-07,17:07:45,new-action/demonstration:action1,2.2.1,start demo: move-vacuum-base
2018-12-07,17:08:14,new-action/demonstration:action1,2.2.2,stop demo
2018-12-07,17:08:22,new-action/demonstration:action1,2.2.4,start replay:move-vacuum-base
2018-12-07,17:09:16,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-07,17:09:16,new-action/actionModel:action1,2.0.5,switch to: actionModel
2018-12-07,17:09:41,new-action/actionModel:action1,2.1.1,detect action conditions: Effect
2018-12-07,17:09:49,new-action/actionModel:action1,2.3.3,generate complete action
2018-12-07,17:09:49,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-07,17:10:33,new-action/actionModel:action1,2.0.2,save action: action1
2018-12-07,17:10:33,new-action/actionModel:action1,2.0.4,renamed action to vacuum_move
2018-12-07,17:10:33,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-07,17:10:33,new-action/actionModel:action1,2.0.3,quit action: action1
2018-12-07,17:11:45,problem-list,3.1,add new problem: problem1
2018-12-07,17:12:05,new-problem/perception:problem1,4.1.1,detect initial states: initial
2018-12-07,17:12:17,new-problem/perception:problem1,4.0.1,refresh view
2018-12-07,17:12:46,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-07,17:12:46,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-07,17:13:14,new-problem/problemModel:problem1,4.2.2,delete goal state:obj1 on
2018-12-07,17:13:27,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-07,17:13:39,new-problem/generatedPlan:problem1,4.3.1,show hints
2018-12-07,17:14:53,new-problem/problemModel:problem1,4.0.2,save problem: problem1
2018-12-07,17:14:53,new-problem/problemModel:problem1,4.0.5,switch to: problemModel
2018-12-07,17:15:02,new-problem/problemModel:problem1,4.2.2,delete goal state:obj1 on
2018-12-07,17:15:05,new-problem/generatedPlan:problem1,4.2.3,solve problem
2018-12-07,17:15:05,new-problem/generatedPlan:problem1,4.3.0,no steps generated
2018-12-07,17:15:25,new-problem/generatedPlan:problem1,4.3.2,execute plan
2018-12-07,17:16:46,new-problem/generatedPlan:problem1,4.0.3,quit problem: problem1
2018-12-07,17:17:01,problem-list,3.1,add new problem: problem2
2018-12-07,17:17:28,problem-list,3.1,add new problem: problem3
2018-12-07,17:17:51,new-problem/perception:problem3,4.1.1,detect initial states: initial
2018-12-07,17:18:13,new-problem/problemModel:problem3,4.0.2,save problem: problem3
2018-12-07,17:18:13,new-problem/problemModel:problem3,4.0.5,switch to: problemModel
2018-12-07,17:18:24,new-problem/perception:problem3,4.0.2,save problem: problem3
2018-12-07,17:18:24,new-problem/perception:problem3,4.0.5,switch to: perception
2018-12-07,17:18:37,new-problem/problemModel:problem3,4.0.2,save problem: problem3
2018-12-07,17:18:37,new-problem/problemModel:problem3,4.0.5,switch to: problemModel
2018-12-07,17:18:58,new-problem/generatedPlan:problem3,4.2.3,solve problem
2018-12-07,17:18:58,new-problem/generatedPlan:problem3,4.3.0,no steps generated
2018-12-07,17:19:02,new-problem/generatedPlan:problem3,4.3.1,show hints
2018-12-07,17:22:27,new-problem/generatedPlan:problem3,4.0.3,quit problem: problem3
2018-12-07,17:22:43,action-list,1.2,open action: vacuum_move
2018-12-07,17:22:52,new-action/actionModel:vacuum_move,2.0.2,save action: vacuum_move
2018-12-07,17:22:52,new-action/actionModel:vacuum_move,2.0.5,switch to: actionModel
2018-12-07,17:23:04,new-action/actionModel:vacuum_move,2.3.2,add precondition:posM clear
2018-12-07,17:23:12,new-action/actionModel:vacuum_move,2.3.2,add effect:posB clear
2018-12-07,17:23:21,new-action/actionModel:vacuum_move,2.0.2,save action: vacuum_move
2018-12-07,17:23:21,new-action/actionModel:vacuum_move,2.0.3,quit action: vacuum_move
2018-12-07,17:23:26,problem-list,3.2,open problem: problem3
2018-12-07,17:23:26,new-problem/perception:problem3,4.3.0,no steps generated
2018-12-07,17:23:29,new-problem/problemModel:problem3,4.0.2,save problem: problem3
2018-12-07,17:23:29,new-problem/problemModel:problem3,4.0.5,switch to: problemModel
2018-12-07,17:23:32,new-problem/generatedPlan:problem3,4.2.3,solve problem
2018-12-07,17:24:47,new-problem/generatedPlan:problem3,4.3.2,execute plan
2018-12-07,17:24:47,new-problem/generatedPlan:problem3,4.0.3,quit problem: problem3
2018-12-07,17:25:14,problem-list,3.1,add new problem: problem4
2018-12-07,17:25:23,action-list,1.2,open action: vacuum_move
